workload,metric,baseline,vcomp,relative_delta_percent,within_10_percent
A,throughput_ops_per_second,77960.624407,70222.004383,-9.926318680568635,True
A,point_lookup_latency_p50_us,765.439,1037.311,35.51844105147504,False
A,point_lookup_latency_p95_us,2094.079,2134.015,1.9070913752537333,True
A,point_lookup_latency_p99_us,3559.423,3553.279,-0.17261224642307615,True
A,disk_read_bytes,9423785984,10592116736,12.397679170384702,False
A,disk_write_bytes,13828096,13914112,0.622037914691953,True
B,throughput_ops_per_second,57989.573912,49121.784903,-15.292040294100095,False
B,point_lookup_latency_p50_us,696.319,933.887,34.11769605597434,False
B,point_lookup_latency_p95_us,1829.887,1956.863,6.939007709219203,True
B,point_lookup_latency_p99_us,2947.071,2990.079,1.4593472637747906,True
B,disk_read_bytes,14956539904,18151464960,21.361391581922938,False
B,disk_write_bytes,610304,626688,2.684563758389258,True
C,throughput_ops_per_second,53304.673797,46117.388919,-13.48340467361514,False
C,point_lookup_latency_p50_us,727.039,924.159,27.112713348252292,False
C,point_lookup_latency_p95_us,1820.671,1950.719,7.142861066057504,True
C,point_lookup_latency_p99_us,2922.495,2961.407,1.3314650666639283,True
C,disk_read_bytes,15427325952,18932711424,22.721925257212593,False
C,disk_write_bytes,602112,2080768,245.578231292517,False
D,throughput_ops_per_second,71153.492166,61281.025305,-13.874887318204543,False
D,point_lookup_latency_p50_us,390.399,452.095,15.803319168338037,False
D,point_lookup_latency_p95_us,2170.879,2318.335,6.792455959083865,True
D,point_lookup_latency_p99_us,3278.847,3426.303,4.49719062829097,True
D,disk_read_bytes,3990843392,4759195648,19.252879166850544,False
D,disk_write_bytes,729088,741376,1.6853932584269593,True
E,throughput_ops_per_second,25730.388206,23907.343027,-7.085183341986612,True
E,scan_latency_p99_us,5595.135,5750.783,2.781845299532537,True
E,disk_read_bytes,22531043328,25632899072,13.767031108343009,False
E,disk_write_bytes,9883648,9764864,-1.2018234562784946,True
F,throughput_ops_per_second,51142.884001,43546.578033,-14.853104427688258,False
F,point_lookup_latency_p50_us,636.415,908.799,42.79974544911733,False
F,point_lookup_latency_p95_us,1801.215,1935.359,7.447417437674009,True
F,point_lookup_latency_p99_us,2824.191,2942.975,4.2059478271830875,True
F,disk_read_bytes,15412400128,18930016256,22.823285787977166,False
F,disk_write_bytes,14110720,15659008,10.972423802612475,False
MIXGRAPH,throughput_ops_per_second,38757.913731,38457.77606,-0.7743906782060384,True
MIXGRAPH,point_lookup_latency_p50_us,654.335,600.575,-8.215974997516561,True
MIXGRAPH,point_lookup_latency_p95_us,2521.087,2281.471,-9.504471682254522,True
MIXGRAPH,point_lookup_latency_p99_us,8740.863,9256.959,5.904405548971559,True
MIXGRAPH,scan_latency_p99_us,100794.367,114687.999,13.784135377327189,False
MIXGRAPH,disk_read_bytes,7530045440,8495964160,12.827528435206892,False
MIXGRAPH,disk_write_bytes,2220032,9007104,305.71955719557195,False
