key,baseline_present,vcomp_present
0,true,true
1,false,false
2,true,true
3,false,false
4,false,true
5,false,false
6,true,true
7,true,true
8,true,true
9,false,true
10,false,true
11,true,true
12,true,true
13,true,true
14,false,true
15,false,true
16,true,true
17,true,true
18,true,true
19,true,true
20,true,true
21,false,true
22,true,true
23,false,true
24,false,true
25,true,true
26,false,true
27,true,true
28,true,true
29,false,true
30,true,true
31,true,true
32,true,true
33,true,true
34,true,true
35,false,false
36,true,true
37,false,true
38,true,true
39,true,true
40,true,true
41,true,false
42,true,true
43,false,true
44,true,false
45,false,true
46,false,true
47,false,true
48,false,false
49,true,true
50,false,true
51,true,true
52,true,false
53,false,true
54,true,true
55,false,false
56,false,true
57,true,true
58,false,true
59,true,false
60,true,true
61,false,true
62,false,false
63,true,true
64,true,true
65,true,true
66,false,false
67,true,true
68,false,true
69,false,false
70,true,true
71,false,true
72,true,true
73,false,false
74,true,true
75,true,true
76,true,true
77,true,false
78,true,true
79,true,true
80,true,false
81,true,true
82,true,true
83,false,true
84,false,false
85,true,true
86,true,true
87,false,false
88,false,true
89,false,true
90,true,true
91,true,false
92,false,true
93,true,true
94,true,false
95,true,true
96,true,true
97,true,true
98,false,false
99,true,true
100,true,true
101,true,false
102,true,true
103,true,true
104,true,true
105,true,false
106,false,true
107,true,true
108,true,true
109,false,false
110,true,true
111,true,true
112,false,false
113,true,true
114,true,true
115,false,true
116,true,false
117,true,true
118,false,true
119,true,false
120,true,true
121,true,true
122,false,true
123,true,false
124,true,true
125,true,true
126,false,false
127,false,true
128,false,true
129,true,true
130,true,false
131,true,true
132,true,true
133,true,false
134,false,true
135,false,true
136,false,true
137,true,false
138,true,true
139,false,true
140,false,true
141,false,false
142,true,true
143,false,true
144,true,false
145,true,true
146,true,true
147,true,true
148,true,false
149,false,true
150,true,true
151,false,false
152,false,true
153,true,true
154,false,true
155,false,false
156,false,true
157,false,true
158,false,false
159,false,true
160,true,true
161,true,true
162,false,false
163,true,true
164,true,true
165,true,true
166,true,false
167,true,true
168,true,true
169,true,false
170,false,true
171,true,true
172,true,true
173,true,false
174,true,true
175,true,true
176,true,false
177,false,true
178,false,true
179,true,true
180,false,false
181,true,true
182,false,true
183,false,false
184,true,true
185,true,true
186,true,true
187,true,false
188,true,true
189,false,true
190,true,false
191,false,true
192,true,true
193,true,true
194,true,false
195,false,true
196,false,true
197,false,true
198,true,false
199,true,true
200,true,true
201,true,false
202,false,true
203,true,true
204,false,true
205,true,false
206,false,true
207,true,true
208,false,false
209,true,true
210,true,true
211,true,true
212,true,false
213,true,true
214,false,true
215,false,false
216,false,true
217,false,true
218,true,true
219,true,false
220,true,true
221,false,true
222,false,true
223,false,false
224,true,true
225,true,true
226,false,false
227,false,true
228,false,true
229,true,true
230,true,false
231,false,true
232,false,true
233,false,false
234,true,true
235,true,true
236,false,true
237,true,false
238,true,true
