scope,metric,baseline,vcomp,delta_percent,verdict,primary
A,throughput_ops_per_second,88098.139242,63950.948288,-27.409422221358394,outside_10pct,True
A,point_reads,480192,480192,0.0,within_10pct,False
A,writes,479808,479808,0.0,within_10pct,False
A,scans,0,0,,undefined_zero_baseline,False
A,point_read_hits,375112,375145,0.008797372518065671,within_10pct,False
A,point_read_misses,105080,105047,-0.03140464408070143,within_10pct,False
A,point_hit_fraction,0.7811708649873383,0.781239587498334,0.008797372518087876,within_10pct,False
A,disk_read_bytes,57097068544,91404623872,60.08636906036953,outside_10pct,False
A,disk_write_bytes,196501504,197013504,0.26055780214282453,within_10pct,False
A,operation_latency_p50_us,392.447,482.815,23.026803619342218,outside_10pct,False
A,operation_latency_p95_us,1158.143,1757.183,51.72418259230509,outside_10pct,False
A,operation_latency_p99_us,2885.631,4186.111,45.06743932262995,outside_10pct,False
A,point_lookup_latency_p50_us,513.535,668.671,30.209430710662378,outside_10pct,True
A,point_lookup_latency_p95_us,1382.399,2160.639,56.29633701991974,outside_10pct,True
A,point_lookup_latency_p99_us,3819.519,5349.375,40.05362978951015,outside_10pct,True
A,point_lookup_hit_latency_p50_us,462.079,564.735,22.216114560497235,outside_10pct,False
A,point_lookup_hit_latency_p95_us,1286.143,1947.647,51.43316100931232,outside_10pct,False
A,point_lookup_hit_latency_p99_us,3428.351,4726.783,37.873368275302035,outside_10pct,False
A,point_lookup_miss_latency_p50_us,680.447,1056.767,55.30482168339341,outside_10pct,False
A,point_lookup_miss_latency_p95_us,1679.359,2777.087,65.36589258163383,outside_10pct,False
A,point_lookup_miss_latency_p99_us,4853.759,6909.951,42.36287792615991,outside_10pct,False
A,scan_latency_p50_us,0.0,0.0,,undefined_zero_baseline,False
A,scan_latency_p95_us,0.0,0.0,,undefined_zero_baseline,False
A,scan_latency_p99_us,0.0,0.0,,undefined_zero_baseline,False
B,throughput_ops_per_second,56017.5399,46693.260707,-16.645285047585613,outside_10pct,True
B,point_reads,911944,911944,0.0,within_10pct,False
B,writes,48056,48056,0.0,within_10pct,False
B,scans,0,0,,undefined_zero_baseline,False
B,point_read_hits,680085,679987,-0.014409963460448871,within_10pct,False
B,point_read_misses,231859,231957,0.0422670674849801,within_10pct,False
B,point_hit_fraction,0.7457530286947445,0.7456455659558043,-0.014409963460448871,within_10pct,False
B,disk_read_bytes,99345661952,126752038912,27.58688846750219,outside_10pct,False
B,disk_write_bytes,3698688,4108288,11.074197120708739,outside_10pct,False
B,operation_latency_p50_us,689.663,795.647,15.36750557881168,outside_10pct,False
B,operation_latency_p95_us,1684.479,2258.943,34.1033637106785,outside_10pct,False
B,operation_latency_p99_us,3964.927,4440.063,11.983474096748825,outside_10pct,False
B,point_lookup_latency_p50_us,694.783,802.815,15.54902753809464,outside_10pct,True
B,point_lookup_latency_p95_us,1696.767,2285.567,34.701287802037626,outside_10pct,True
