concurrent compactors            48          
pending tasks                    0           
compactions completed            1           
data compacted                   848         
compressed data compacted        814         
compactions aborted              0           
compactions reduced              0           
sstables dropped from compaction 0           
15 minute rate                   11.23/minute
mean rate                        54.33/hour  
compaction throughput (MiB/s)    64.0        
