scope,metric,baseline,vcomp,delta_percent,verdict,primary
A,throughput_ops_per_second,57585.370673,68815.063751,19.500947804552826,outside_10pct,True
A,point_reads,8641870,10326950,19.49902046663512,outside_10pct,False
A,writes,8633869,10317699,19.502612328262114,outside_10pct,False
A,scans,0,0,,undefined_zero_baseline,False
A,point_read_hits,7160247,8596730,20.06191965165447,outside_10pct,False
A,point_read_misses,1481623,1730220,16.778694715187335,outside_10pct,False
A,point_hit_fraction,0.8285529636525428,0.8324558557947893,0.4710492042706793,within_10pct,False
A,disk_read_bytes,2123076612096,1922461413376,-9.44926799047272,within_10pct,True
A,disk_write_bytes,21544427520,32191299584,49.41821756051006,outside_10pct,True
A,disk_read_bytes_per_operation,122893.53364831455,93121.53543400035,-24.22584600709178,outside_10pct,False
A,disk_write_bytes_per_operation,1247.0915148694942,1559.3047662859271,25.035311979418417,outside_10pct,False
A,scan_requested_rows,0,0,,undefined_zero_baseline,False
A,scan_returned_rows,0,0,,undefined_zero_baseline,False
A,scan_returned_bytes,0,0,,undefined_zero_baseline,False
A,scan_cql_requests,0,0,,undefined_zero_baseline,False
A,empty_scans,0,0,,undefined_zero_baseline,False
A,operation_latency_p50_us,491.007,442.367,-9.90617241709385,within_10pct,False
A,operation_latency_p95_us,2510.847,1974.271,-21.370318462255977,outside_10pct,False
A,operation_latency_p99_us,4024.319,3514.367,-12.671758873985883,outside_10pct,False
A,point_lookup_latency_p50_us,755.711,644.095,-14.76966724051919,outside_10pct,True
A,point_lookup_latency_p95_us,3031.039,2455.551,-18.98649275050569,outside_10pct,True
A,point_lookup_latency_p99_us,5582.847,5271.551,-5.575936435299045,within_10pct,True
A,point_lookup_hit_latency_p50_us,601.087,536.575,-10.732556185710207,outside_10pct,False
A,point_lookup_hit_latency_p95_us,2709.503,2193.407,-19.047626077550017,outside_10pct,False
A,point_lookup_hit_latency_p99_us,4546.559,4235.263,-6.84684835278725,within_10pct,False
A,point_lookup_miss_latency_p50_us,1980.415,1448.959,-26.83558749050072,outside_10pct,False
A,point_lookup_miss_latency_p95_us,3956.735,3336.191,-15.683233777344208,outside_10pct,False
A,point_lookup_miss_latency_p99_us,9486.335,8626.175,-9.067358468786946,within_10pct,False
A,scan_latency_p50_us,0.0,0.0,,undefined_zero_baseline,False
A,scan_latency_p95_us,0.0,0.0,,undefined_zero_baseline,False
A,scan_latency_p99_us,0.0,0.0,,undefined_zero_baseline,False
A,disk_read_latency_avg_ms,0.14366403171526734,0.1567965526055466,9.141133471951445,within_10pct,False
A,disk_write_latency_avg_ms,0.4174632244343357,0.4672789798211085,11.932968575680736,outside_10pct,False
B,throughput_ops_per_second,36232.945631,45634.507406,25.947550250941376,outside_10pct,True
B,point_reads,10326612,13006430,25.95060219169656,outside_10pct,False
B,writes,543357,684031,25.889792530509403,outside_10pct,False
B,scans,0,0,,undefined_zero_baseline,False
B,point_read_hits,8082416,10235712,26.64173682720612,outside_10pct,False
B,point_read_misses,2244196,2770718,23.461498015324867,outside_10pct,False
B,point_hit_fraction,0.7826783847403195,0.7869732124802886,0.5487346812821592,within_10pct,False
B,disk_read_bytes,2577734463488,2376231460864,-7.817058175625313,within_10pct,True
B,disk_write_bytes,669925376,1268789248,89.39262393308714,outside_10pct,True
B,disk_read_bytes_per_operation,237142.76126160065,173568.40363987742,-26.80847489651691,outside_10pct,False
B,disk_write_bytes_per_operation,61.630845129365134,92.67688268495853,50.374187617299036,outside_10pct,False
B,scan_requested_rows,0,0,,undefined_zero_baseline,False
B,scan_returned_rows,0,0,,undefined_zero_baseline,False
B,scan_returned_bytes,0,0,,undefined_zero_baseline,False
B,scan_cql_requests,0,0,,undefined_zero_baseline,False
B,empty_scans,0,0,,undefined_zero_baseline,False
B,operation_latency_p50_us,1007.615,816.639,-18.9532708425341,outside_10pct,False
B,operation_latency_p95_us,3108.863,2445.311,-21.34388038327838,outside_10pct,False
B,operation_latency_p99_us,4259.839,3500.031,-17.836542648677568,outside_10pct,False
B,point_lookup_latency_p50_us,1070.079,846.335,-20.909110448854705,outside_10pct,True
B,point_lookup_latency_p95_us,3141.631,2473.983,-21.251636490727254,outside_10pct,True
B,point_lookup_latency_p99_us,4296.703,3536.895,-17.683512218554565,outside_10pct,True
B,point_lookup_hit_latency_p50_us,805.375,696.831,-13.477448393605462,outside_10pct,False
B,point_lookup_hit_latency_p95_us,2871.295,2265.087,-21.11270350138178,outside_10pct,False
B,point_lookup_hit_latency_p99_us,4003.839,3289.087,-17.8516668627285,outside_10pct,False
B,point_lookup_miss_latency_p50_us,2000.895,1428.479,-28.607997920930384,outside_10pct,False
B,point_lookup_miss_latency_p95_us,3657.727,2918.399,-20.212771483492343,outside_10pct,False
B,point_lookup_miss_latency_p99_us,4988.927,4136.959,-17.0771791208811,outside_10pct,False
B,scan_latency_p50_us,0.0,0.0,,undefined_zero_baseline,False
B,scan_latency_p95_us,0.0,0.0,,undefined_zero_baseline,False
B,scan_latency_p99_us,0.0,0.0,,undefined_zero_baseline,False
B,disk_read_latency_avg_ms,0.11404670867373258,0.11394847996390647,-0.08613024520253143,within_10pct,False
B,disk_write_latency_avg_ms,0.35562233909341345,0.3432764396235444,-3.471632153745563,within_10pct,False
C,throughput_ops_per_second,31689.615673,40088.725238,26.5042960813064,outside_10pct,True
C,point_reads,9506950,12026678,26.504062817202147,outside_10pct,False
C,writes,0,0,,undefined_zero_baseline,False
C,scans,0,0,,undefined_zero_baseline,False
C,point_read_hits,5455202,8048984,47.54694693248756,outside_10pct,False
C,point_read_misses,4051748,3977694,-1.8277049806651346,within_10pct,False
C,point_hit_fraction,0.573812000694229,0.6692607883906097,16.634156758816744,outside_10pct,False
C,disk_read_bytes,2668645122048,2451061334016,-8.15334291676143,within_10pct,True
C,disk_write_bytes,14446592,14909440,3.203855968244973,within_10pct,True
C,disk_read_bytes_per_operation,280704.6552309626,203802.02529875663,-27.39627879307196,outside_10pct,False
C,disk_write_bytes_per_operation,1.5195822003902408,1.239697279664426,-18.418544298158935,outside_10pct,False
C,scan_requested_rows,0,0,,undefined_zero_baseline,False
C,scan_returned_rows,0,0,,undefined_zero_baseline,False
C,scan_returned_bytes,0,0,,undefined_zero_baseline,False
C,scan_cql_requests,0,0,,undefined_zero_baseline,False
C,empty_scans,0,0,,undefined_zero_baseline,False
C,operation_latency_p50_us,1268.735,981.503,-22.639243025533297,outside_10pct,False
C,operation_latency_p95_us,3356.671,2660.351,-20.7443624948647,outside_10pct,False
C,operation_latency_p99_us,4550.655,3788.799,-16.741677846375957,outside_10pct,False
C,point_lookup_latency_p50_us,1268.735,980.479,-22.719953339349818,outside_10pct,True
C,point_lookup_latency_p95_us,3354.623,2658.303,-20.757026944607492,outside_10pct,True
C,point_lookup_latency_p99_us,4550.655,3788.799,-16.741677846375957,outside_10pct,True
C,point_lookup_hit_latency_p50_us,1259.519,898.559,-28.65855933892224,outside_10pct,False
C,point_lookup_hit_latency_p95_us,3282.943,2533.375,-22.83219659920992,outside_10pct,False
C,point_lookup_hit_latency_p99_us,4476.927,3645.439,-18.572739738664488,outside_10pct,False
C,point_lookup_miss_latency_p50_us,1285.119,1169.407,-9.003991070087668,within_10pct,False
C,point_lookup_miss_latency_p95_us,3442.687,2856.959,-17.01368727392296,outside_10pct,False
C,point_lookup_miss_latency_p99_us,4636.671,4018.175,-13.339225491737505,outside_10pct,False
C,scan_latency_p50_us,0.0,0.0,,undefined_zero_baseline,False
C,scan_latency_p95_us,0.0,0.0,,undefined_zero_baseline,False
C,scan_latency_p99_us,0.0,0.0,,undefined_zero_baseline,False
C,disk_read_latency_avg_ms,0.1129986217108299,0.11239221655236606,-0.5366482787866778,within_10pct,False
C,disk_write_latency_avg_ms,0.3591549295774648,0.35233160621761656,-1.8998272884283351,within_10pct,False
